阿尔山伊尔施机场,YIE
阿克苏红旗坡机场,AKU
阿拉尔塔里木机场,ACF
阿里昆莎机场,NGQ
安康富强机场,AKA
安庆天柱山机场,AQG
安阳红旗渠机场,HQQ
巴彦淖尔天吉泰机场,RLK
巴中恩阳机场,BZX
包头东河国际机场,BAV
保山云瑞机场,BSD
北海福成机场,BHY
北京大兴国际机场,PKX
北京首都国际机场,PEK
毕节飞雄机场,BFJ
博乐阿拉山口机场,BPL
沧源佤山机场,CWJ
昌都邦达机场,BPX
常德桃花源机场,CGD
郴州北湖机场,HCZ
成都天府国际机场,TFU
池州九华山机场,JUH
赤峰玉龙机场,CIF
达州金垭机场,DZH
大理凤仪机场,DLU
大连周水子国际机场,DLC
德宏芒市国际机场,LUM
迪庆香格里拉机场,DIG
东营胜利机场,DOY
敦煌莫高国际机场,DNH
鄂尔多斯伊金霍洛国际机场,DSN
鄂州花湖国际机场,EHU
恩施许家坪国际机场,ENH
二连浩特赛乌素国际机场,ERL
福州长乐国际机场,FOC
阜阳机场,FUG
赣州黄金机场,KOW
格尔木机场,GOQ
广元盘龙机场,LIA
广州白云国际机场,CAN
贵阳龙洞堡国际机场,KWE
桂林两江国际机场,KWL
哈尔滨太平国际机场,HRB
哈密伊州机场,HMI
海口美兰国际机场,HAK
邯郸机场,HDG
汉中城固机场,HZG
杭州萧山国际机场,HGH
合肥新桥国际机场,HFE
和田昆冈机场,HTN
菏泽牡丹机场,HZA
衡阳南岳机场,HNY
呼和浩特白塔国际机场,HET
呼伦贝尔海拉尔机场,HLD
怀化芷江机场,HJJ
淮安涟水国际机场,HIA
黄山屯溪国际机场,TXN
惠州平潭机场,HUZ
霍林郭勒霍林河机场,HUO
鸡西兴凯湖机场,JXA
吉安井冈山机场,JGS
济南遥墙国际机场,TNA
济宁大安机场,JNG
佳木斯东郊机场,JMU
揭阳潮汕国际机场,SWA
荆州沙市机场,SHS
九江庐山机场,JIU
喀什徕宁国际机场,KHG
库车龟兹机场,KCA
库尔勒梨城机场,KRL
昆明长水国际机场,KMG
拉萨贡嘎国际机场,LXA
兰州中川国际机场,LHW
澜沧景迈机场,JMJ
阆中古城机场,LZG
丽江三义国际机场,LJG
连云港花果山国际机场,LYG
林芝米林机场,LZY
临沂启阳国际机场,LYI
柳州白莲机场,LZH
陇南成县机场,LNL
泸州云龙机场,LZO
洛阳北郊机场,LYA
满洲里西郊机场,NZH
梅州梅县机场,MXZ
绵阳南郊机场,MIG
牡丹江海浪国际机场,MDG
南昌昌北国际机场,KHN
南充高坪机场,NAO
南京禄口国际机场,NKG
南宁吴圩国际机场,NNG
南通兴东国际机场,NTG
南阳姜营机场,NNY
宁波栎社国际机场,NGB
青岛胶东国际机场,TAO
庆阳机场,IQN
琼海博鳌国际机场,BAR
泉州晋江国际机场,JJN
日喀则和平机场,RKZ
日照山字河机场,RIZ
三明沙县机场,SQJ
三沙永兴机场,XYI
三亚凤凰国际机场,SYX
厦门高崎国际机场,XMN
上海虹桥国际机场,SHA
上海浦东国际机场,PVG
上饶三清山机场,SQD
韶关丹霞机场,HSC
邵阳武冈机场,WGN
深圳宝安国际机场,SZX
沈阳桃仙国际机场,SHE
十堰武当山机场,WDS
石家庄正定国际机场,SJW
塔城千泉机场,TCG
台州路桥机场,HYN
太原武宿国际机场,TYN
唐山三女河机场,TVS
腾冲驼峰机场,TCZ
天津滨海国际机场,TSN
通辽机场,TGO
图木舒克唐王城机场,TWC
吐鲁番交河机场,TLQ
万州五桥机场,WXN
威海大水泊国际机场,WEH
温州龙湾国际机场,WNZ
乌海机场,WUA
乌兰浩特义勒力特机场,HLH
乌鲁木齐天山国际机场,URC
无锡硕放机场,WUX
芜湖宣州机场,WHA
武汉天河国际机场,WUH
西安咸阳国际机场,XIY
西宁曹家堡国际机场,XNN
西双版纳嘎洒国际机场,JHG
锡林浩特机场,XIL
湘西边城机场,DXJ
襄阳刘集机场,XFN
新源那拉提机场,NLT
信阳明港机场,XAI
邢台褡裢机场,XNT
徐州观音国际机场,XUZ
烟台蓬莱国际机场,YNT
延安南泥湾机场,ENY
延吉朝阳川国际机场,YNJ
盐城南洋国际机场,YNZ
扬州泰州国际机场,YTY
伊犁伊宁国际机场,YIN
宜昌三峡国际机场,YIH
宜春明月山机场,YIC
银川河东国际机场,INC
永州零陵机场,LLF
于田万方机场,YTW
榆林榆阳机场,UYN
玉林福绵机场,YLX
玉树巴塘机场,YUS
岳阳三荷机场,YYA
湛江吴川国际机场,ZHA
张家界荷花国际机场,DYG
张家口宁远机场,ZQZ
张掖甘州机场,YZY
长春龙嘉国际机场,CGQ
长沙黄花国际机场,CSX
郑州新郑国际机场,CGO
中卫沙坡头机场,ZHY
重庆江北国际机场,CKG
舟山普陀山国际机场,HSN
珠海金湾机场,ZUH
遵义茅台机场,WMT
遵义新舟机场,ZYI
